event_id,domain,title,date,time,location,speaker,event_mode,description
0,Cloud Computing,AWS Cloud Computing Event,2024-09-14,10:00,Rourkela,Michael Johnson,Meetup,Learn cloud computing fundamentals with AWS
1,Education,Education Administrator Education Event,2023-06-12,10:00,Villupuram,Daniel Johnson,Webinar,Create engaging learning experiences with Education Administrator
2,Blockchain,Cardano Blockchain Event,2023-12-05,14:00,Dindigul,Isabella Anderson,Webinar,Conduct blockchain consensus mechanism research with Cardano
3,Education,Academic Coach Education Event,2023-04-08,09:00,Gorakhpur,Avery Harris,Meetup,Design and implement curriculum and instructional materials as a Academic Coach
4,Engineering,Biomedical Engineering Engineering Event,2024-06-22,13:00,Gulbarga,Alexander Young,Conference,Address environmental challenges through engineering solutions as a Biomedical Engineering
5,Marketing Specialist,Community Manager Marketing Specialist Event,2024-11-07,17:00,Villupuram,Andrew Harris,Workshop,Analyze digital marketing campaigns and channels to optimize performance as a Community Manager
6,Data Analysis,Credit Analyst Data Analysis Event,2024-09-03,12:00,Jamnagar,Aiden White,Webinar,Utilize data visualization techniques to present findings and trends as a Credit Analyst
7,Artificial Intelligence,Computer Vision Engineer Artificial Intelligence Event,2024-01-04,16:00,Agra,John Doe,Webinar,Address ethical considerations in AI development and deployment as a Computer Vision Engineer
8,Marketing Specialist,Marketing Analyst Marketing Specialist Event,2024-03-04,10:00,Kochi,James Young,Meetup,Develop content plans and editorial calendars to drive engagement and conversion as a Marketing Analyst
9,Education,Special Education Teacher Education Event,2024-08-05,11:00,Jodhpur,Carter Johnson,Conference,Collaborate with colleagues and stakeholders to improve educational outcomes as a Special Education Teacher
10,Accounting,QuickBooks Accounting Event,2025-01-14,09:00,Guwahati,Ethan Hernandez,Conference,Prepare and review financial statements using QuickBooks
11,Finance,Corporate Finance Finance Event,2023-10-19,11:00,Chandigarh,Emily Brown,Workshop,Understand fixed income securities in Corporate Finance
12,Accounting,Oracle Financials Accounting Event,2024-11-30,16:00,Nashik,Evelyn Hernandez,Conference,Generate customizable financial reports with Oracle Financials
13,Human Resource,Benefits Administrator Human Resource Event,2024-03-17,18:00,Salem,Joshua Garcia,Meetup,"Oversee HR policies, procedures, and compliance as a Benefits Administrator"
14,DevOps,Heroku DevOps Event,2024-09-05,18:00,Hubli-Dharwad,Daniel Thomas,Webinar,Integrate with other DevOps tools and platforms using Heroku
15,Engineering,Environmental Engineering Engineering Event,2024-10-20,14:00,Ajmer,Abigail White,Meetup,Optimize manufacturing processes and systems as a Environmental Engineering
16,Computer Science,Lua Computer Science Event,2024-08-05,13:00,Vellore,Olivia Brown,Webinar,Implement machine learning algorithms with Lua
17,Software Engineer,Systems Analyst Software Engineer Event,2024-08-30,17:00,Gulbarga,David Rodriguez,Webinar,Utilize version control systems for code collaboration and management as a Systems Analyst
18,Data Science,SPSS Data Science Event,2024-03-09,13:00,Agra,Ethan Jones,Meetup,Apply SPSS for data analysis and visualization
19,Marketing,Influencer Marketing Marketing Event,2025-02-03,16:00,Howrah,Grace Martinez,Workshop,Automate marketing processes with Influencer Marketing tools
20,Data Analysis,Supply Chain Analyst Data Analysis Event,2023-10-13,09:00,Gorakhpur,Joseph Anderson,Meetup,Analyze and interpret data to uncover insights and trends as a Supply Chain Analyst
21,Healthcare,Respiratory Therapy Healthcare Event,2024-10-29,17:00,Aurangabad,David Lee,Meetup,Oversee operations and ensure quality care delivery in healthcare facilities as a Respiratory Therapy
22,Blockchain,Truffle Blockchain Event,2024-12-13,10:00,Chennai,Aiden White,Webinar,Understand the underlying technology of cryptocurrencies like Truffle
23,Frontend Development,Bulma Frontend Development Event,2023-10-04,15:00,Ahmedabad,Emily Thompson,Meetup,Develop cross-platform mobile applications with Bulma
24,Engineering,Marine Engineering Engineering Event,2023-05-10,11:00,Bikaner,Aiden White,Workshop,Develop new materials for various applications as a Marine Engineering
25,Data Science,Java Data Science Event,2024-04-06,10:00,Warangal,Liam Thompson,Meetup,Implement data mining algorithms with Java
26,Artificial Intelligence,Game AI Developer Artificial Intelligence Event,2023-12-16,18:00,Tirunelveli,Alexander Lewis,Workshop,Implement reinforcement learning algorithms with Game AI Developer
27,Marketing,Video Marketing Marketing Event,2024-05-21,14:00,Loni,Ethan Brown,Meetup,Analyze marketing metrics and KPIs to measure campaign effectiveness with Video Marketing
28,Software Engineer,Game Developer Software Engineer Event,2024-07-14,09:00,Hyderabad,Ethan Thompson,Meetup,Implement and automate deployment pipelines and infrastructure as code as a Game Developer
29,Marketing Specialist,Public Relations Specialist Marketing Specialist Event,2024-07-14,18:00,Bangalore,Sophia Johnson,Workshop,Manage social media platforms and engage with audiences to build brand presence as a Public Relations Specialist
30,MLOps,DVC MLOps Event,2023-12-09,18:00,Bhiwandi,John Doe,Webinar,Utilize DVC for model serving and inference
31,Artificial Intelligence,AI Consultant Artificial Intelligence Event,2023-08-11,18:00,Madurai,Ella Lewis,Meetup,Lead the development and launch of AI-powered products as a AI Consultant
32,Software Engineer,Web Developer Software Engineer Event,2024-01-28,14:00,Navi Mumbai,Christopher Harris,Webinar,Architect and deploy cloud-native solutions using Web Developer services as a Web Developer
33,Marketing,Affiliate Marketing Marketing Event,2024-12-02,17:00,Dindigul,Samuel Martinez,Workshop,Utilize social media platforms for brand promotion and customer engagement with Affiliate Marketing
34,Blockchain,Avalanche Blockchain Event,2023-07-10,14:00,Bhavnagar,Jackson Martinez,Webinar,Explore blockchain privacy and confidentiality solutions with Avalanche
35,Data Analysis,Quantitative Analyst Data Analysis Event,2025-02-02,12:00,Bikaner,Sophia Perez,Meetup,Assess and mitigate risks through data-driven decision-making as a Quantitative Analyst
38,Computer Science,HTML/CSS Computer Science Event,2023-04-05,10:00,Jammu,Olivia Brown,Webinar,Analyze data and generate insights using HTML/CSS
39,Finance,Derivatives Trading Finance Event,2024-01-02,15:00,Madurai,Ella Young,Conference,Structure mergers and acquisitions deals in Derivatives Trading
40,DevOps,Terraform DevOps Event,2023-10-17,16:00,Navi Mumbai,Matthew Taylor,Conference,Integrate with other DevOps tools and platforms using Terraform
41,Computer Science,PHP Computer Science Event,2024-07-02,13:00,Jabalpur,Ethan Thompson,Conference,Analyze data and generate insights using PHP
42,Frontend Development,Bootstrap Frontend Development Event,2023-03-25,17:00,Kolhapur,James Harris,Webinar,Develop cross-platform mobile applications with Bootstrap
43,MLOps,TensorBoard MLOps Event,2025-03-13,16:00,Gorakhpur,Samuel Hernandez,Meetup,Containerize machine learning applications with TensorBoard
44,Photography,Hasselblad Photography Event,2024-09-19,11:00,Allahabad,Olivia Johnson,Meetup,Learn advanced composition techniques with Hasselblad
45,Photography,Pentax Photography Event,2024-08-05,16:00,Salem,Aiden Brown,Webinar,Master the use of Pentax camera settings
46,Finance,Real Estate Finance Event,2025-01-25,11:00,Villupuram,Avery Harris,Conference,Structure mergers and acquisitions deals in Real Estate
47,Cloud Computing,Cisco Cloud Cloud Computing Event,2023-08-18,17:00,Madurai,Avery Hernandez,Webinar,"Utilize Cisco Cloud services for storage, compute, and networking"
48,Accounting,FreeAgent Accounting Event,2023-12-06,18:00,Pimpri-Chinchwad,Carter Garcia,Conference,Generate customizable financial reports with FreeAgent
49,Marketing,Event Marketing Marketing Event,2023-03-27,10:00,Nanded,Jackson Brown,Meetup,Design and execute targeted email campaigns with Event Marketing
50,MLOps,KNative MLOps Event,2024-04-10,09:00,Mysore,Alexander Hernandez,Webinar,Manage and monitor machine learning experiments with KNative
53,Frontend Development,Backbone.js Frontend Development Event,2024-04-04,13:00,Dhanbad,Samuel Young,Webinar,Utilize Backbone.js for server-side rendering
54,Photography,Panavision Photography Event,2023-09-22,10:00,Allahabad,Samuel Martin,Conference,Learn advanced composition techniques with Panavision
55,Human Resource,Recruiter Human Resource Event,2023-04-22,15:00,Ajmer,Grace Garcia,Conference,Conduct job analysis and evaluation as a Recruiter
57,Photography,Phase One Photography Event,2024-10-12,09:00,Chennai,Alexander Thompson,Workshop,Learn portrait photography techniques with Phase One
58,Computer Science,Python Computer Science Event,2024-05-21,09:00,Ludhiana,David Martinez,Conference,Analyze data and generate insights using Python
59,DevOps,OpenShift DevOps Event,2024-04-07,09:00,Jabalpur,Carter Johnson,Meetup,Manage cloud resources and services using OpenShift
60,Accounting,Intuit QuickBooks Online Accounting Event,2024-09-11,14:00,Kumbakonam,Abigail Taylor,Workshop,Utilize Intuit QuickBooks Online for expense tracking
61,Artificial Intelligence,AI Curriculum Developer Artificial Intelligence Event,2023-09-18,09:00,Bhilai,Grace Thompson,Workshop,Lead the development and launch of AI-powered products as a AI Curriculum Developer
62,Human Resource,HRIS Analyst Human Resource Event,2025-02-22,12:00,Rourkela,Alexander White,Conference,"Lead diversity, equity, and inclusion (DEI) initiatives as a HRIS Analyst"
63,Software Engineer,Frontend Developer Software Engineer Event,2024-05-13,16:00,Bikaner,David Thompson,Workshop,Integrate third-party APIs and services into applications as a Frontend Developer
64,Data Analysis,Healthcare Analyst Data Analysis Event,2025-02-09,16:00,Bhiwandi,Aiden Young,Workshop,Conduct financial modeling and analysis to support business planning and forecasting as a Healthcare Analyst
